Population,Age,Weight,Height,Sex,Trochanter,ASIS,id
Tsimane,70,53.1,156.2,M,77,NA,n5nx3
Tsimane,34,74.2,161.5,M,88,NA,z5086
Tsimane,NA,73.7,181,M,89,101.5,lpg3n
Tsimane,22,72.6,173,M,93,NA,gnvjb
Tsimane,NA,54.8,156.8,M,80,NA,f72y2
Tsimane,61,68.8,162.2,M,80,91,wvoo7
Tsimane,24,65.9,168,M,82,93.5,bge5x
Tsimane,14,48.3,151,M,73,82,sby0e
Tsimane,14,49.9,152,M,77.5,88,hm8i1
Tsimane,20,66.8,168.6,M,84,94,uc10k
Tsimane,26,70.8,166.2,M,83,94.5,cks4w
Tsimane,17,62.9,160.3,M,79.5,90.5,ry3z1
Tsimane,28,72.3,168.2,M,86.5,97.5,k033w
Tsimane,24,65.5,166,M,82.5,93,e86na
Tsimane,23,67.9,165.1,M,82.5,93.5,dz2dp
Tsimane,15,60,165,M,84,94.5,ioh77
Tsimane,47,58.7,160.5,M,84,93,wostn
Batek,21,60.6,169,M,88.50586146,100,w0jjo
Batek,38,56.4,158.5,M,85.39751332,96.5,yulkl
Batek,22,53.5,164.5,M,84.06536412,95,i6dy6
Batek,26,55.2,171.5,M,87.17371226,98.5,rbq6o
Batek,30,56.2,169.5,M,84.06536412,95,htxlr
Batek,19,51.5,164,M,82.28916519,93,mlo2e
Batek,37,49.1,154,M,80.51296625,91,ho3ag
Batek,21,47.1,161.5,M,82.28916519,93,mhd4o
Batek,21,51.5,163,M,84.06536412,95,bmrlk
Batek,22,54.1,163.5,M,84.06536412,95,g7zyv
Batek,40,51.3,164.5,M,86.72966252,98,y7yz7
Batek,33,62.1,158.5,M,79.62486679,90,i23gx
Batek,27,61.4,166.5,M,87.61776199,99,h55ml
Batek,35,55.5,154,M,76.07246892,86,pmudf
Batek,31,58.3,169.5,M,87.61776199,99,iafnu
Batek,22,59.1,167.5,M,85.39751332,96.5,yfhrl
Batek,15,54.4,162,M,80.51296625,91,qcgcs
Batek,27,53.5,165,M,84.06536412,95,ki8dc
Batek,23,55.4,156.5,M,78.73676732,89,z58is
Batek,24,62.6,166,M,83.17726465,94,swmrt
Batek,23,55.2,166.5,M,84.95346359,96,s39j1
Batek,25,51.7,167,M,85.84156306,97,y68s9
Batek,42,64.6,163,M,82.73321492,93.5,k6ujl
Batek,48,50.2,162,M,86.28561279,97.5,abx1l
Batek,25,49.2,163.5,M,86.72966252,98,xdh2o
Batek,24,54.1,162,M,84.50941385,95.5,yktht
Batek,25,52.6,162.5,M,80.51296625,91,qbcwv
Batek,23,48,156,M,80.06891652,90.5,alyry
Batek,20,51.6,157.5,M,79.18081705,89.5,i3ud3
Batek,20,51.6,164,M,84.06536412,95,m04fc